"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets Note","Previous Budgets","2014 Adopted","2015 Forecast","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast"
"Assessment Automation","Assessment and Taxation","1400000115","Prosperity","Assessment, Taxation and Corporate","See Capital Budget Book Detail Page",,"0","750,000","500,000","350,000","320,000","350,000"
"Local Improvements - Ongoing Program","Assessment and Taxation","1420000114","Vitality","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
"PeopleSoft Accounts Receivable and Billing","Corporate Finance","1200001514","Sustainability","Organizational Support Services",,"550,000","250,000","0","0","0","0","0"
"Corporate Records Centre","City Clerks","400000917","Heritage ","Council Services",,"725,000","0","0","0","150,000","0","0"
"Election Systems","City Clerks","400000514","Prosperity","Council Services","See Capital Budget Book Detail Page",,"200,000","0","0","200,000","200,000","0"
"City Archives","City Clerks","400000114","Heritage ","Council Services",,"2,000,000","1,500,000","0","0","0","0","0"
"DMIS Upgrades / Replacement","City Clerks","400001518","Prosperity","Council Services",,"0","0","0","0","0","250,000","0"
"2017 Canada Summer Games","City Clerks","400001614","OurWinnipeg Action Plan","Arts, Entertainment and Culture",,"0","750,000","750,000","750,000","750,000","0","0"
"Community Incentive Grant Program","Community Services","6251000114","Recreation","Neighbourhood Revitalization","See Capital Budget Book Detail Page",,"1,600,000","1,632,000","1,665,000","1,698,000","1,732,000","1,767,000"
"Library Interior Infrastructure Replacement Program ","Community Services","6211000514","Libraries","Libraries","See Capital Budget Book Detail Page",,"200,000","200,000","200,000","300,000","306,000","312,000"
"Library Facility Redevelopment - Transcona Library","Community Services","6213000114","Libraries","Libraries",,"0","5,383,000","0","0","0","0","0"
"Library Facility Redevelopment - River Heights Library","Community Services","6213000115","Libraries","Libraries",,"0","100,000","5,560,000","0","0","0","0"
"Library Facility Redevelopment - Westwood Library","Community Services","6213000117","Libraries","Libraries",,"0","100,000","0","0","1,468,000","0","0"
"Library Facility Redevelopment - St. James Library","Community Services","6213000118","Libraries","Libraries",,"0","0","0","0","0","6,492,000","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure","Community Services","6210634116","Libraries","Libraries","See Capital Budget Book Detail Page",,"0","0","500,000","500,000","510,000","520,000"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure: Cornish Library","Community Services","6210634114","Libraries","Libraries","See Capital Budget Book Detail Page",,"250,000","2,250,000","0","0","0","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure: St. John's Library","Community Services","6210634214","Libraries","Libraries","See Capital Budget Book Detail Page",,"250,000","2,250,000","0","0","0","0"
"Library Technology Upgrade and Replacement Program","Community Services","626200014","Libraries","Libraries","See Capital Budget Book Detail Page",,"500,000","500,000","500,000","500,000","510,000","520,000"
