"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets","2015 Adopted","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast","2020 Forecast"
"Assessment Automation","Assessment and Taxation","1400000115","Prosperity","Assessment, Taxation and Corporate","N/A *","750","0","870","320","350","200"
"Local Improvements - Ongoing Program","Assessment and Taxation","1420000114","Vitality","Roadway Construction and Maintenance","N/A *","3,000","3,000","3,000","3,000","3,000","3,000"
"Study for City-Wide Project Management IT Solution","Corporate Finance","1200001615","Sustainability","Organizational Support Services","0","300","0","0","0","0","0"
"Innovation Capital Fund","City Clerks","0400001715","Prosperity","Council Services","0","1,000","0","0","0","0","0"
"Corporate Records Centre","City Clerks","0400000917","Heritage ","Heritage Conservation","725","0","0","150","0","0","0"
"Election Systems","City Clerks","0400000514","Prosperity","Council Services","N/A *","0","0","200","200","0","0"
"Decision Making Information System (DMIS) Replacement","City Clerks","0400001518","Prosperity","Council Services","0","0","0","0","250","0","0"
"2017 Canada Summer Games","City Clerks","0400001615","OurWinnipeg Action Plan","Arts, Entertainment and Culture","750","750","750","750","0","0","0"
"Community Incentive Grant Program","Community Services","6251000115","Recreation","Neighbourhood Revitalization","N/A *","1,746","1,665","1,698","1,732","1,767","1,802"
"Library Interior Infrastructure Replacement Program ","Community Services","6211000515","Libraries","Libraries","N/A *","100","200","300","306","312","318"
"Library Facility Redevelopment - River Heights Library","Community Services","6213002115","Libraries","Libraries","100","500","5,060","0","0","0","0"
"Library Facility Redevelopment - Westwood Library","Community Services","6213003117","Libraries","Libraries","100","0","0","1,468","0","0","0"
"Library Facility Redevelopment - St. James Library","Community Services","6213000118","Libraries","Libraries","0","0","0","0","6,492","0","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure","Community Services","6210634116","Libraries","Libraries","N/A *","0","500","500","510","520","530"
"Millennium Library ""Maker Space"" Project","Community Services","6210634216","Libraries","Libraries","0","0","0","0","0","562","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure: Cornish Library","Community Services","6210634115","Libraries","Libraries","250","2,250","0","0","0","0","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure: St. John's Library","Community Services","6210634215","Libraries","Libraries","250","2,250","0","0","0","0","0"
"Library Technology Upgrade and Replacement Program","Community Services","626200015","Libraries","Libraries","N/A *","500","500","500","510","520","530"
"Recreational Facility Safety, Security and Accessibility Improvements Program","Community Services","62500000115","Recreation","Recreation","N/A *","150","153","156","159","162","165"
"Library Facility Safety, Security and Accessibility Improvements Program","Community Services","6210634515","Libraries","Libraries","N/A *","200","306","312","318","324","330"
"Business Application Systems","Community Services","6260000117","Recreation","Recreation","250","0","0","250","306","312","0"
"Recreation Equipment Program ","Community Services","6251000215","Recreation","Recreation","N/A *","200","0","608","0","400","0"
"East Elmwood Leisure Centre Amenities and Equipment","Community Services","6251000315","Recreation","Recreation","0","225","208","0","0","0","0"
"Fitness Equipment Upgrade Program ","Community Services","625100415","Recreation","Recreation","N/A *","0","239","222","233","227","230"
"Technology Upgrade and Replacement Program","Community Services","6262000118","Recreation","Recreation","N/A *","0","0","0","306","0","0"
"Recreation Facility Replacement - New Infrastructure","Community Services","6253000117","Recreation","Recreation","350","0","0","3,801","0","7,062","0"
"Pan Am Pool ","Community Services","6251000215","Recreation","Recreation","0","1,000","1,400","0","0","0","0"
"Community Centre Renovation Grant Program (CCRGP)","Community Services","6252000115","Recreation","Recreation","N/A *","965","965","965","965","965","965"
"Assiniboine Park Conservancy (APC) - Infrastructure and Sustainability","Community Services","6206402015","Creativity","Arts, Entertainment and Culture","N/A *","5,123","5,123","5,123","5,123","5,123","2,000"
"Assiniboine Park Conservancy (APC) - Capital Development Plan","Community Services","6206404015","Creativity","Arts, Entertainment and Culture","28,603","5,700","0","0","0","0","0"
"PeopleSoft Upgrade","Corporate Support Services","3455000015","Prosperity","Organizational Support Services","3,475","200","500","1,800","1,000","0","0"
"Communications Network Infrastructure","Corporate Support Services","3401200015","Prosperity","Organizational Support Services","N/A *","275","125","375","630","315","355"
"Enterprise Computing Initiatives","Corporate Support Services","3402500015","Prosperity","Organizational Support Services","N/A *","1,115","1,646","1,150","801","854","1,149"
"Aerial Imagery Renewal Program","Corporate Support Services","3458100016","Prosperity","Organizational Support Services","0","0","150","0","165","0","190"
