IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2023,Lift Station Upgrading: Station Rehabilitation,text,Water and Waste,Wastewater,Program,"$67,050,000",100%,,Environmental Resilience,Upgrade,,,,"6,000,000",0,2027,,,,,,,,,,,
2023,Soil Fabrication for Landfill Cover,text,Water and Waste,Solid Waste,Program,"$7,850,000",100%,,Environmental Resilience,Upgrade,,,,"1,300,000",0,2023,,,,,,,,,,,
2023,Southwest Interceptor River Crossing,text,Water and Waste,Wastewater,Project,"$95,000,000",100%,5,Environmental Resilience,Renew,,,,"35,000,000",0,2027,Growth-enabling infrastructure,,,,,,,,,,
2023,Equipment Obsolescence,text,Fire Paramedic Service,Fire & Medical Response,Program,"$26,440,000",100%,,Good Health & Well-Being,Renew,,,,"4,045,000",0,2031,,,,,,,,,,,
2023,Pedestrian and Cycling Program,text,Public Works,Active Transportation,Program,"$203,950,000",12%,,Good Health & Well-Being,Upgrade,,,,"2,899,000","17,127,000",2027,,,,,,,,,,,
2023,Fleet Asset Acquisitions,text,Fleet Management Services,Multiple Organizational Support Services,Program,"$282,132,000",56%,,Economic Prosperity,Operations & Maintenance,,,,"15,670,000","22,249,000",2028,,,,,,,,,,,
2023,Bus Radio and Intelligent Transportation System (ITS) Replacement,text,Winnipeg Transit,Public Transit,Program,"$17,279,000",100%,,City Building,Renew,,,,"17,013,000",0,2024,,,,,,,,,,,
2023,Transition to Zero Emission Buses,text,Winnipeg Transit,Public Transit,Program,"$629,575,000",93%,,Environmental Resilience,Renew,,,,"78,178,000",0,2031,,,,,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,"$1,737,705,000",100%,,Leadership & Good Governance,Renew,,,,"187,354,000",0,2030,,,,,,,,,,,
2023,Road Safety Strategy Implementation,text,Public Works,Roads - Regional,Program,"$21,790,000",0%,,Economic Prosperity,Upgrade,,,,0,"4,156,000",2024,,,,,,,,,,,
2024,Shoal Lake Aqueduct Condition Assessment and Rehabilitation,"Funds are for condition assessment and rehabilitation work identified through on-going monitoring and inspection programs. Work identified to date includes rehabilitation of the aqueduct pipe, berm, and underdrain system, rehabilitation of the drainage siphons crossing under the aqueduct, vegetation management, and the rehabilitation/replacement of select boathouses, overflow structures, bar screens, vent pipes, manholes, culverts, ditches, and bridging structures.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"2,400,000",0,2029,,,N,10,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,"$368,500,000",100%,,Environmental Resilience,Upgrade,,,,"41,500,000",0,2025,,,,,,,,,,,
