TransactionID,CustomerID,StoreID,Date,Time,Year,Month,MonthName,DayOfWeek,IsWeekend,Age,AgeGroup,Gender,Location,OnlineOrderFlag,Channel,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,PromotionApplied,DiscountAmount,DiscountApplied,GiftWrap,ShippingMethod,DeliveryTime(Days),Weather,Event,CustomerSatisfaction,ReturnFlag
1,441,,2020-12-24,7:27:59,2020,12,December,Thursday,False,27,26-35,Other,City_15,True,Online,106,Toys_Product,Toys,5,96.78625465,483.9312732,Credit Card,False,0.0,False,False,Standard,5.0,Snowy,No Event,5,False
2,340,,2022-11-18,14:36:39,2022,11,November,Friday,False,43,36-50,Male,City_13,True,Online,816,Clothing_Product,Clothing,1,95.27957916,95.27957916,Credit Card,True,0.0,False,True,Express,3.0,Sunny,No Event,2,True
3,31,92,2019-12-26,20:23:50,2019,12,December,Thursday,False,25,18-25,Other,City_7,False,In-Store,508,Clothing_Product,Clothing,2,52.37164537,104.7432907,Credit Card,False,0.0,False,False,Not Applicable (In-Store),,Rainy,Christmas Market,4,False
4,39,100,2018-11-13,23:08:08,2018,11,November,Tuesday,False,64,51+,Male,City_20,False,In-Store,710,Toys_Product,Toys,5,63.64729257,318.2364628,Debit Card,False,0.0,False,True,Not Applicable (In-Store),,Rainy,No Event,1,True
5,344,90,2020-12-13,4:38:08,2020,12,December,Sunday,True,26,26-35,Other,City_10,False,In-Store,687,Toys_Product,Toys,3,57.38404058,172.1521217,Cash,False,0.0,False,True,Not Applicable (In-Store),,Sunny,Christmas Market,4,False
6,307,79,2018-11-26,3:17:17,2018,11,November,Monday,False,18,18-25,Male,City_4,False,In-Store,589,Decorations_Product,Decorations,1,81.05898582,81.05898582,Online Payment,True,8.105898582,True,True,Not Applicable (In-Store),,Rainy,Black Friday,3,True
7,368,,2020-12-08,8:26:56,2020,12,December,Tuesday,False,63,51+,Female,City_3,True,Online,158,Food_Product,Food,3,48.15754232,144.4726269,Online Payment,False,0.0,False,True,Express,2.0,Sunny,Christmas Market,3,True
8,121,,2020-12-03,16:02:24,2020,12,December,Thursday,False,48,36-50,Other,City_1,True,Online,829,Clothing_Product,Clothing,3,97.06931545,291.2079463,Cash,True,29.12079463,True,False,Standard,3.0,Rainy,Black Friday,5,False
9,464,87,2020-11-10,14:41:38,2020,11,November,Tuesday,False,58,51+,Other,City_19,False,In-Store,987,Decorations_Product,Decorations,2,34.14224425,68.28448849,Debit Card,True,6.828448849,True,False,Not Applicable (In-Store),,Snowy,Black Friday,1,False
10,252,54,2019-11-16,0:08:13,2019,11,November,Saturday,True,41,36-50,Female,City_16,False,In-Store,470,Clothing_Product,Clothing,1,37.04606705,37.04606705,Debit Card,False,3.704606705,True,False,Not Applicable (In-Store),,Sunny,Black Friday,2,True
11,302,47,2019-12-06,18:02:36,2019,12,December,Friday,False,50,36-50,Female,City_13,False,In-Store,670,Toys_Product,Toys,5,91.87703585,459.3851792,Debit Card,False,0.0,False,False,Not Applicable (In-Store),,Rainy,Christmas Market,4,True
12,300,,2021-11-11,7:42:19,2021,11,November,Thursday,False,51,51+,Other,City_13,True,Online,755,Decorations_Product,Decorations,1,26.89912172,26.89912172,Online Payment,False,0.0,False,True,Express,3.0,Sunny,Christmas Market,5,False
13,175,,2022-11-04,6:54:03,2022,11,November,Friday,False,20,18-25,Male,City_15,True,Online,95,Electronics_Product,Electronics,3,48.97453114,146.9235934,Credit Card,False,14.69235934,True,False,Express,3.0,Rainy,Black Friday,4,False
14,417,38,2020-11-07,19:24:07,2020,11,November,Saturday,True,62,51+,Female,City_5,False,In-Store,460,Decorations_Product,Decorations,1,80.48414429,80.48414429,Debit Card,True,0.0,False,True,Not Applicable (In-Store),,Snowy,Christmas Market,4,True
15,231,,2018-12-28,21:28:34,2018,12,December,Friday,False,66,51+,Female,City_11,True,Online,609,Electronics_Product,Electronics,3,37.22133377,111.6640013,Debit Card,True,0.0,False,True,Standard,5.0,Rainy,Christmas Market,3,True
16,216,,2018-12-24,23:42:29,2018,12,December,Monday,False,51,51+,Male,City_2,True,Online,540,Electronics_Product,Electronics,2,92.89284394,185.7856879,Credit Card,True,0.0,False,False,Standard,2.0,Sunny,No Event,2,False
17,447,,2019-12-20,7:56:53,2019,12,December,Friday,False,23,18-25,Other,City_17,True,Online,346,Clothing_Product,Clothing,1,47.16863787,47.16863787,Cash,False,0.0,False,False,Express,3.0,Rainy,Christmas Market,1,True
18,60,,2021-11-11,13:37:18,2021,11,November,Thursday,False,44,36-50,Other,City_20,True,Online,488,Toys_Product,Toys,1,91.25614092,91.25614092,Debit Card,False,0.0,False,False,Express,5.0,Rainy,No Event,1,False
19,450,98,2018-12-13,20:42:36,2018,12,December,Thursday,False,52,51+,Other,City_14,False,In-Store,332,Decorations_Product,Decorations,3,20.88022516,62.64067547,Online Payment,True,0.0,False,True,Not Applicable (In-Store),,Rainy,Christmas Market,5,False
